,Code commune,Libellé commune,Code BV,id_bv,MARECHAL_eur,AUBRY_eur,BARDELLA_eur,TOUSSAINT_eur,HAYER_eur,BELLAMY_eur,GLUCKSMANN_eur,DEFFONTAINES_eur,Votants_eur,Blancs_eur,Nuls_eur,Inscrits_eur,TOUNSI_t1,GAILLARD_t1,ISNARD_t1,BREGEON_t1,PRETO_t1,YVARS_t1,MARTIN_t1,Votants_t1,Blancs_t1,Nuls_t1,Inscrits_t1,GAILLARD_t2,BREGEON_t2,Votants_t2,Blancs_t2,Nuls_t2,Inscrits_t2,evolution_Gaillard_t1_t2_abs,evolution_Gaillard_t1_t2_pct,evolution_Bregeon_t1_t2_abs,evolution_Bregeon_t1_t2_pct,evolution_Participation_t1_t2_abs,evolution_Participation_t1_t2_pct,evolution_Blancs_t1_t2_abs,evolution_Blancs_t1_t2_pct,evolution_BregeonIsnard_t1_t2_abs,evolution_BregeonIsnard_t1_t2_pct,evolution_NFP_eur_t1_abs,evolution_NFP_eur_t1_pct,evolution_LREM_eur_t1_abs,evolution_LREM_eur_t1_pct,evolution_LR_eur_t1_abs,evolution_LR_eur_t1_pct,evolution_RN_eur_t1_abs,evolution_RN_eur_t1_pct,evolution_Reqt_eur_t1_abs,evolution_Reqt_eur_t1_pct,evolution_EXD_eur_t1_abs,evolution_EXD_eur_t1_pct,evolution_Participation_eur_t1_abs,evolution_Participation_eur_t1_pct,evolution_Blancs_eur_t1_abs,evolution_Blancs_eur_t1_pct
27,92002,Antony,28,92002_28,18,108,97,46,105,44,106,10,600,11,0,927,13,296,25,216,13,107,9,693,14,0,916,298,291,642,53,0,915,2,0.2157497303128371,75,8.090614886731391,-51,-5.501618122977346,39,4.207119741100324,50,5.393743257820928,26,2.8047464940668827,111,11.974110032362459,-19,-2.0496224379719528,10,1.0787486515641855,-5,-0.5393743257820928,5,0.5393743257820928,93,10.032362459546926,3,0.3236245954692557
28,92002,Antony,29,92002_29,22,167,73,46,127,39,80,9,625,9,0,1039,7,365,31,209,11,96,2,736,15,0,1033,385,270,696,41,0,1033,20,1.9249278152069296,61,5.871029836381136,-40,-3.849855630413859,26,2.5024061597690084,30,2.8873917228103942,63,6.063522617901828,82,7.892204042348412,-8,-0.769971126082772,23,2.213666987487969,-11,-1.0587102983638113,12,1.1549566891241578,111,10.68334937439846,6,0.5774783445620789
29,92002,Antony,30,92002_30,24,178,51,8,31,23,35,7,398,14,0,934,12,372,13,84,8,68,2,577,18,0,932,391,131,567,45,0,932,19,2.0342612419700217,47,5.032119914346895,-10,-1.070663811563169,27,2.890792291220557,34,3.640256959314775,144,15.417558886509635,53,5.674518201284797,-10,-1.070663811563169,17,1.8201284796573876,-16,-1.7130620985010707,1,0.10706638115631692,179,19.16488222698073,4,0.4282655246252677
30,92002,Antony,31,92002_31,23,86,63,30,84,54,73,5,463,4,0,847,3,241,28,207,5,94,5,597,14,0,835,241,286,559,32,0,835,0,0.0,79,9.327036599763874,-38,-4.4864226682408495,18,2.125147579693034,51,6.02125147579693,47,5.548996458087367,123,14.521841794569069,-26,-3.0696576151121606,31,3.659976387249114,-18,-2.125147579693034,13,1.5348288075560803,134,15.820543093270366,10,1.1806375442739079
31,92002,Antony,32,92002_32,37,70,69,52,136,68,134,12,626,7,0,1028,13,287,44,324,6,104,3,797,16,0,1028,290,419,747,38,0,1029,3,0.2918287937743191,95,9.241245136186771,-50,-4.863813229571985,22,2.140077821011673,51,4.961089494163424,19,1.8482490272373542,188,18.28793774319066,-24,-2.3346303501945527,35,3.404669260700389,-31,-3.0155642023346303,4,0.38910505836575876,171,16.634241245136185,9,0.8754863813229572
32,92002,Antony,33,92002_33,33,78,117,34,86,51,75,4,537,9,0,864,6,204,43,225,12,148,1,651,12,0,867,224,327,596,45,0,867,20,2.314814814814815,102,11.805555555555555,-55,-6.365740740740741,33,3.8194444444444446,59,6.828703703703703,13,1.5046296296296295,139,16.087962962962962,-8,-0.9259259259259258,31,3.587962962962963,-21,-2.430555555555556,10,1.1574074074074074,114,13.194444444444445,3,0.3472222222222222
33,92002,Antony,34,92002_34,27,56,66,58,136,78,133,5,608,9,0,960,5,243,50,314,11,102,1,738,12,0,961,260,382,685,43,0,961,17,1.7708333333333333,68,7.083333333333333,-53,-5.520833333333333,31,3.229166666666667,18,1.875,-9,-0.9375,178,18.541666666666668,-28,-2.9166666666666665,36,3.75,-16,-1.6666666666666667,20,2.083333333333333,130,13.541666666666666,3,0.3125
34,92002,Antony,35,92002_35,24,131,92,23,32,26,34,15,440,12,0,879,7,272,25,100,11,115,9,570,31,0,879,304,153,517,60,0,879,32,3.6405005688282137,53,6.0295790671217295,-53,-6.0295790671217295,29,3.299203640500569,28,3.1854379977246867,69,7.849829351535837,68,7.736063708759955,-1,-0.11376564277588168,23,2.6166097838452784,-13,-1.4789533560864618,10,1.1376564277588168,130,14.789533560864617,19,2.1615472127417523
35,92002,Antony,36,92002_36,37,91,92,22,63,43,53,18,464,8,0,853,6,239,19,162,8,144,5,592,9,0,849,251,229,535,55,0,849,12,1.406799531066823,67,7.854630715123095,-57,-6.682297772567409,46,5.3927315357561545,48,5.627198124267292,55,6.447831184056271,99,11.606096131301289,-24,-2.813599062133646,52,6.096131301289566,-29,-3.399765533411489,23,2.6963657678780772,128,15.005861664712777,1,0.11723329425556857
36,92002,Antony,37,92002_37,22,99,76,20,89,25,68,13,462,8,0,937,12,275,33,191,5,99,6,633,12,0,926,279,244,579,56,0,926,4,0.42689434364994666,53,5.656350053361793,-54,-5.76307363927428,44,4.695837780149413,20,2.134471718249733,75,8.004268943436498,102,10.88580576307364,8,0.8537886872998933,23,2.454642475987193,-17,-1.814300960512273,6,0.6403415154749199,171,18.24973319103522,4,0.42689434364994666
